SR NO,NAME,PROPERTY TYPE,LOCATION,CITY,CONTACT NO 1,CONTACT NO 2,CONTACT NO 3,EMAIL 1,EMAIL 2,EMAIL 3,RATING OUT OF 5,REVIEW COUNT,PRICE PER DAY,LOCATION TYPE,WEBSITE,INSTAGRAM,FACEBOOK,LINKEDIN,YOUTUBE,TWITTER
1,"Radisson Blu Hotel, New Delhi Paschim Vihar",Hotel,"Outer Ring Rd, Sunder Vihar, Paschim Vihar, New Delhi, Delhi, 110087, India",Delhi,011 4639 9999,,,,,,4.4,27946,,"establishment, lodging, point_of_interest",https://www.radissonhotels.com/en-us/hotels/radisson-blu-new-delhi-paschim-vihar?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INDLDELPVI,,,,,
2,"De Pavilion Hotel, Delhi",Hotel,"250-A, Road No. 6, Block RZ, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India",New Delhi,089299 00076,,,,,,4.4,3321,,"establishment, lodging, point_of_interest",https://depavilion.com/,,,,,
3,"Taj Palace, New Delhi",Luxury Hotel,"2, Sardar Patel Marg, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India",New Delhi,011 2611 0202,,,,,,4.7,34801,,"establishment, lodging, point_of_interest",https://www.tajhotels.com/en-in/hotels/taj-palace-new-delhi/rooms-and-suites?utm_source=google&utm_medium=local&utm_campaign=taj-palace-new-delhi,,,,,
4,IIDL Suites,Hotel,"Plot No 4A, District Centre, Mayur Place, Phase 1, Mayur Vihar, Delhi, 110091, India",Delhi,011 4766 8888,,,,,,4.2,4627,,"establishment, lodging, point_of_interest",http://iidlhospitality.com/,,,,,
5,"Radisson Blu Marina Hotel, Delhi Connaught Place",Hotel,"G-59 Connaught Circus, Block G, Connaught Place, New Delhi, Delhi 110001, India",New Delhi,011 4690 9090,,,,,,4.6,20185,,"establishment, lodging, point_of_interest",https://www.radissonhotels.com/en-us/hotels/radisson-blu-marina-new-delhi-connaught-place?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INDLDELMAR,,,,,
6,"The Oberoi, New Delhi",Boutique Hotel,"Dr Zakir Hussain Marg, Delhi Golf Club, Golf Links, New Delhi, Delhi 110003, India",New Delhi,011 6911 0606,,,reservations@oberoigroup.com,generalmanager.delhi@oberoihotels.com,,4.6,11769,,"bar, establishment, food, lodging, point_of_interest, restaurant, spa",https://www.oberoihotels.com/hotels-in-delhi/?utm_source=GMBlisting&utm_medium=organic,https://www.instagram.com/oberoihotels/,https://www.facebook.com/OberoiHotels,,https://www.youtube.com/user/OberoiHotels,https://www.twitter.com/oberoihotels/
7,Hotel Golden Oasis Delhi,Hotel,"901 Chandi Wali Street, Main Bazar Rd, near AXIS bank ATM, Ratan Lal Market, Aram Bagh, Paharganj, New Delhi, Delhi 110055, India",New Delhi,097176 86744,,,,,,4.3,2968,,"establishment, lodging, point_of_interest",http://hotelgoldenoasis.com/,,,,,
8,Hotel City Star,Hotel,"8718, Desh Bandhu Gupta Rd, Arya Nagar, Paharganj, New Delhi, Delhi 110055, India",New Delhi,098716 30631,,,,,,4.0,1776,,"establishment, lodging, point_of_interest",http://www.hotel-citystar.com/,,,,,
9,"The Connaught, New Delhi - IHCL SeleQtions",Boutique Hotel,"37, Shaheed Bhagat Singh Marg, Shivaji Stadium, Connaught Place, New Delhi, Delhi 110001, India",New Delhi,011 6146 7000,,,book.connaught@seleqtionshotels.com,,,4.5,2719,,"establishment, lodging, point_of_interest",https://www.seleqtionshotels.com/en-in/hotels/connaught-new-delhi?utm_source=google&utm_medium=local&utm_campaign=connaught-new-delhi-cla&utm_content=connaught-new-delhi-cla-gmb,,,,,
10,Seven Seas Hotel,Boutique Hotel,"12, Mangalam Place, Sector 3, Rohini, New Delhi, Delhi, 110085, India",Delhi,011 4340 0000,9990200004,,info@sevenseashotel.com,,,4.3,11543,,"establishment, lodging, point_of_interest",http://www.sevenseashotel.com/,https://www.instagram.com/sevenseashotel/,https://www.facebook.com/sevenseashotels/,,https://www.youtube.com/channel/UCVPE-cgIISp88kBHpuA4_rg,https://twitter.com/Sevenseashotel
