SR NO,NAME,PROPERTY TYPE,LOCATION,CITY,CONTACT NO 1,CONTACT NO 2,CONTACT NO 3,EMAIL 1,EMAIL 2,EMAIL 3,RATING OUT OF 5,REVIEW COUNT,PRICE PER DAY,LOCATION TYPE,WEBSITE,INSTAGRAM,FACEBOOK,LINKEDIN,YOUTUBE,TWITTER
7,Ananta Vilas By Stayjadegardenpool 35Min E-City,Hotel,"Uttari, Karnataka 560116, India",banglore,,,,,,,,,"₹29,741",Hotel,,,,,,
10,"Itc Gardenia, A Luxury Collection Hotel, Bengaluru",Hotel,"1, Residency Rd, Ashok Nagar, Bengaluru, Karnataka 560025, India",banglore,080 2211 9898,,,,,,4.6,25603.0,"₹29,500",Hotel,https://www.marriott.com/en-us/hotels/blrgl-itc-gardenia-a-luxury-collection-hotel-bengaluru/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,,,,
11,Jw Marriott Hotel Bengaluru,Hotel,"24/1, Vittal Mallya Rd, KG Halli, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",banglore,080671 89999,,,,,,4.5,23351.0,"₹29,500",Hotel,https://www.marriott.com/en-us/hotels/blrjw-jw-marriott-hotel-bengaluru/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,,,,
12,Stayvista At Silver Oak Farm,Villa,"Silver Oak Farm, Madhure Temple Road, Ittagalpura Village, Heserghatta, Hobli, Rajanukunte, Bengaluru, Karnataka 560119, India",banglore,081049 54254,,,,,,4.8,21.0,"₹28,568",Hotel,http://www.stayvista.com/villa/silver-oak-farm?reference_number=prop673b7f1861f8awicmv5f?utm_source=google&utm_medium=gmb,,,,,
13,Doubletree By Hilton Bengaluru Whitefield,Hotel,"ITPL Main Rd, EPIP Zone, Brookefield, Bengaluru, Karnataka 560037, India",banglore,080 6944 9999,,,,,,4.5,1075.0,"₹28,500",Hotel,https://www.hilton.com/en/hotels/blrkudi-doubletree-bengaluru-whitefield/?SEO_id=GMB-APAC-DI-BLRKUDI,,,,,
14,Vintage Haven Leafy Getaway Luxury Villa In Indiranagar By Spacez,Villa,"87, 11th Cross Rd, Stage 2, Hoysala Nagar, Indiranagar, Bengaluru, Karnataka 560038, India",banglore,093808 34941,,,hello@spacez.co,,,4.6,21.0,"₹27,957",Hotel,https://www.spacez.co/Bengaluru/indiranagar/vintage-haven,https://www.instagram.com/spacez.luxe/,,https://www.linkedin.com/company/spacezluxe/,,
15,Grandeur Luxe 5Bhk Villatheatre Hennurmanyata,Villa,"Essel gardens, Bengaluru, Karnataka 560077, India",banglore,,,,,,,,,"₹26,681",Hotel,https://www.bluepillow.com/search/6626464b4338d48a8fc8c252?dest=bkng&cat=Villa&lat=13.06466&lng=77.67014&language=en,,,,,
16,Four Seasons Hotel Bengaluru At Embassy One,Hotel,"8, Bellary Rd, Dena Bank Colony, Ganganagar, Bengaluru, Karnataka 560032, India",banglore,080 4522 2222,,,,,,4.6,7809.0,"₹27,000",Hotel,https://www.fourseasons.com/bengaluru/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-bng-hre-mid-seo-na&utm_content=na-na&utm_term=na,,,,,
17,"The Ritz-Carlton, Bangalore",Villa,"99, Residency Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India",banglore,080 4914 8000,,,,,,4.6,19732.0,"₹27,000",Hotel,https://www.ritzcarlton.com/en/hotels/blrrz-the-ritz-carlton-bangalore/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,https://www.instagram.com/ritzcarlton.bangalore,https://www.facebook.com/ritzcarltonbangalore,,,https://twitter.com/ritz_bangalore
18,Magnum Opus Party Friendly Spacez Villa With Theater,Villa,"3J99+VF 121, 2nd cross, post, Telecom Layout, Srirampura, Jakkur, Bengaluru, Karnataka 560064, India",banglore,,,,hello@spacez.co,,,,,"₹23,720",Establishment,https://www.spacez.co/Bengaluru/jakkur/lucent-luxe,https://www.instagram.com/spacez.luxe/,,https://www.linkedin.com/company/spacezluxe/,,
