SR NO,NAME,PROPERTY TYPE,LOCATION,CITY,CONTACT NO 1,CONTACT NO 2,CONTACT NO 3,EMAIL 1,EMAIL 2,EMAIL 3,RATING OUT OF 5,REVIEW COUNT,PRICE PER DAY,LOCATION TYPE,WEBSITE,INSTAGRAM,FACEBOOK,LINKEDIN,YOUTUBE,TWITTER
1,Bengaluru Marriott Hotel Whitefield,Hotel,"Plot No 75, 8th Rd, EPIP Zone, Whitefield, Bengaluru, Karnataka 560066, India",banglore,080 4943 5000,,,,,,4.4,11388,"₹40,000",Hotel,https://www.marriott.com/en-us/hotels/blrwf-bengaluru-marriott-hotel-whitefield/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,,,,
2,"The Den, Bengaluru",Villa,"ITPL Main Rd, KIADB Export Promotion Industrial Area, Whitefield, Bengaluru, Karnataka 560066, India",banglore,1800 123 7222,+918071117222,8001237222,reservations@denhotels.com,,,4.5,10901,"₹37,799",Hotel,https://www.denhotels.com/,https://www.instagram.com/theden_bengaluru,https://www.facebook.com/Denhotels/,https://in.linkedin.com/company/dan-hospitality-india-pvt.ltd.,,https://twitter.com/DEN_Bengaluru
3,Novotel Bengaluru Outer Ring Road,Luxury Hotel,"ECOSPACE BUSINESS PARK, Marathahalli - Sarjapur Outer Ring Rd, opp. RMZ, Kariyammana Agrahara, Bellandur, Bengaluru, Karnataka 560103, India",banglore,080667 05000,,,,,,4.6,19826,"₹37,500",Hotel,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6453&merchantid=seo-maps-IN-6453&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,https://www.instagram.com/all.accor,https://www.facebook.com/ALL/,https://www.linkedin.com/company/all-accorlivelimitless/,https://www.youtube.com/All_AccorLiveLimitless,https://twitter.com/all
4,Courtyard By Marriott Bengaluru Outer Ring Road,Hotel,"Marathahalli - Sarjapur Outer Ring Rd, Bellandur, Bengaluru, Karnataka 560103, India",banglore,08071 203 040,,,,,,4.3,7177,"₹37,500",Hotel,https://www.marriott.com/en-us/hotels/blrgt-courtyard-bengaluru-outer-ring-road/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,,,,
5,Heritage Haven Spacez Luxury Villa Homestay,Villa,"Sidharata Colony, Santhosapuram, 2nd Block, Koramangala, Bengaluru, Karnataka 560068, India",banglore,,,,,,,,,"₹37,395",Hotel,,,,,,
6,5Bhk Bgh Spacez Villa With Picture Windows,Villa,"62/1, 101, 9th Main Rd, 8th cross, Stage 2, Eshwara Layout, Indiranagar, Bengaluru, Karnataka 560038, India",banglore,086086 00718,,,hello@spacez.co,,,,,"₹31,063",Establishment,https://www.spacez.co/,https://www.instagram.com/spacez.luxe/,,https://www.linkedin.com/company/spacezluxe/,,
7,Ananta Vilas By Stayjadegardenpool 35Min E-City,Hotel,"Uttari, Karnataka 560116, India",banglore,,,,,,,,,"₹29,741",Hotel,,,,,,
8,Hilton Garden Inn Bengaluru Embassy Tech Village Outer Ring Road,Villa,"Block 8, Hotel Building 2, Outer Ring Rd, Devarabisanahalli, Bengaluru, Karnataka 560103, India",banglore,080 6501 2346,,,,,,5,23,"₹30,500",Hotel,https://www.hilton.com/en/hotels/blretgi-hilton-garden-inn-bengaluru-embassy-tech-village/?SEO_id=GMB-APAC-GI-BLRETGI,,,,,
9,The Leela Palace Bengaluru,Luxury Hotel,"23, HAL Old Airport Rd, HAL 2nd Stage, Kodihalli, Bengaluru, Karnataka 560008, India",banglore,080 2521 1234,,,reservations@theleela.com,,,4.6,37032,"₹30,000",Hotel,https://www.theleela.com/the-leela-palace-bengaluru?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gbp-leela-palace-bengaluru&utm_content=hotel-website-click,https://www.instagram.com/theleela/,https://www.facebook.com/theleela,https://www.linkedin.com/company/theleela,https://www.youtube.com/user/LeelaHotelsOfficial,https://x.com/theleelahotels
10,"Itc Gardenia, A Luxury Collection Hotel, Bengaluru",Hotel,"1, Residency Rd, Ashok Nagar, Bengaluru, Karnataka 560025, India",banglore,080 2211 9898,,,,,,4.6,25603,"₹29,500",Hotel,https://www.marriott.com/en-us/hotels/blrgl-itc-gardenia-a-luxury-collection-hotel-bengaluru/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,,,,
