SR NO,NAME,PROPERTY TYPE,LOCATION,CITY,CONTACT NO 1,CONTACT NO 2,CONTACT NO 3,EMAIL 1,EMAIL 2,EMAIL 3,RATING OUT OF 5,REVIEW COUNT,PRICE PER DAY,LOCATION TYPE,WEBSITE,INSTAGRAM,FACEBOOK,LINKEDIN,YOUTUBE,TWITTER
1,Hotel Jupiter,Hotel,"KH - 389/1, BLOCK A, S/F, EXTENSION ROAD, Rd Number 3, near SHEETAL GUEST HOUSE, Block B, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India",Delhi,078273 17149,,,,,,3.5,96,₹425,Hotel,,,,,,
2,Transit Stay Near Igi Airport,Hotel,"Konnectus Tower, Railway Station, opposite New Delhi, Kamla Market, Railway Station, New Delhi, Delhi, 110002, India",Delhi,092179 79400,,,support@transitpods.in,,,4.8,919,₹465,Hotel,http://transitpods.in/,https://www.instagram.com/themetrostay,,,,
3,Hotel Luck Plaza Near Delhi Airport,Hotel,"airport zone, A-392/1, Rd Number 1, Block B, Mahipalpur Extension, Mahipalpur, New Delhi, Delhi 110037, India",Delhi,,,,,,,3.6,1115,₹471,Hotel,,,,,,
4,Sweet Homestay,Hotel,"7874/2, Arakashan Rd, Prem Nagar, Ram Nagar, Paharganj, New Delhi, Delhi 110055, India",Delhi,011 3313 8029,,,,,,3.7,152,₹485,Hotel,,,,,,
5,Great Diplomat Hotel Delhi Id Not Allowed,Boutique Hotel,"9, Sardar Patel Marg, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India",Delhi,011 4605 0200,,,reservations@thehoteldiplomat.com,,,4.1,1570,₹485,Hotel,https://www.thehoteldiplomat.com/,,,,,
6,Heaven Homestay,Hotel,"G3/4, Block G 5, Malviya Nagar, New Delhi, Delhi 110017, India",Delhi,,,,,,,,,₹499,Hotel,,,,,,
7,Hotel Prince Palace (The Green),Luxury Hotel,"Part) Gali Thanedar Wali, 5116-17-18, Main Bazar Rd, near MyBar & restaurant, Bharat Nagar, Paharganj, New Delhi, Delhi 110055, India",Delhi,,,,,,,3.5,774,₹500,Hotel,,,,,,
8,Hotel Dynasty Near Igi Airport,Hotel,"L, 176, Street Number 7, Block F, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India",Delhi,088268 33487,,,,,,3.7,139,₹525,Establishment,,,,,,
9,Hotel Yes Please A Budget Friendly Guest House,Hotel,"General Market, T-106, Main Bazar Rd, Bharat Nagar, Paharganj, New Delhi, Delhi 110055, India",Delhi,011 2356 1791,,,,,,2.9,616,₹549,Hotel,,,,,,
10,Miracle Homestay,Hotel,"Paramount Golf Foreste, opposite sector zeta 201306, opposite sector zeta, UPSIDC Site C, Gulistanpur, Greater Noida, Uttar Pradesh 201306, India",Delhi,,,,,,,5,6,₹549,Hotel,http://airbnb.com/h/miracle-homes,,,,,
11,Stay Hotel Darpan,Hotel,"7977, Arakashan Rd, near New Delhi Railway Station, Arya Nagar, Paharganj, New Delhi, Delhi 110055, India",Delhi,,,,,,,4.6,103,₹600,Hotel,,,,,,
12,Hotel Quality Stay Near Igi Delhi Airport,Boutique Hotel,"10 A, near Vishal Mega Mart, L block, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India",Delhi,093554 44526,,,crs@foxosohotels.com,,,4.4,3112,₹600,Hotel,https://www.foxosohotels.com/hotels-delhi-airport/new-delhi-hotels?utm_source=google&utm_medium=organic,https://www.instagram.com/foxoso_hotels_and_resorts,https://www.facebook.com/people/Foxoso-Hotels-And-Resorts/61565189914614/#,https://www.linkedin.com/in/foxoso-hotels-566976283/,https://www.youtube.com/@FoxosoHotels,
13,Grand - Double R Family & Budget Hotel,Hotel,"919 Chandi wali Gali, Main Bazar Rd, Ratan Lal Market, Aram Bagh, Paharganj, New Delhi, Delhi 110055, India",Delhi,,,,,,,2.6,11,₹612,Hotel,,,,,,
14,Hotel O Bhavya Residency,Hotel,"pillar no 695, 1 R block, Plot no, Uttam Nagar West, Block E, Param Puri, Uttam Nagar, Delhi, 110059, India",Delhi,0124 620 1616,,,,,,1,2,₹592,Hotel,https://www.oyorooms.com/357250/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
15,Hotel O Nanak Residency Karol Bagh,Hotel,"90, Block 3A, WEA, Karol Bagh, New Delhi, Delhi, 110005, India",Delhi,0124 620 1616,,,,,,3.9,14,₹609,Hotel,https://www.oyorooms.com/362700/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
16,Group Rr Main Market - Smart Tv & Free Wi-Fi,Hotel,"Plot No 5, opposite Kendriya Bhawan, Sector H, Sector-A, Sector E, Aliganj, Lucknow, Uttar Pradesh 226024, India",Delhi,089299 91523,+919311826729,+918929991523,,,,4.7,9231,₹648,Electronics Store,https://store.croma.com/croma-aliganj-electronics-retail-and-repair-shop-sector-e-lucknow-263661/Home?utm_source=locator&utm_medium=googleplaces,https://www.instagram.com/croma.retail/,https://www.facebook.com/96856132013_1445634357611747,https://www.linkedin.com/company/infiniti-retail-limited-croma---a-tata-enterprise,https://www.youtube.com/user/CromaRetail,
17,Ever Green Guest House Travel & Pg デリー日本 人 宿,Hotel,"Bazar Sangatrashan, Aram Bagh, Paharganj, New Delhi, Delhi 110055, India",Delhi,,,,,,,,,₹600,Hotel,https://www.bluepillow.com/search/59437e1c7c00cb0e642ff97b/106610759?dest=bkng&cat=House&lat=28.64379&lng=77.21204&language=en,,,,,
