SR NO,NAME,PROPERTY TYPE,LOCATION,CITY,CONTACT NO 1,CONTACT NO 2,CONTACT NO 3,EMAIL 1,EMAIL 2,EMAIL 3,RATING OUT OF 5,REVIEW COUNT,PRICE PER DAY,LOCATION TYPE,WEBSITE,INSTAGRAM,FACEBOOK,LINKEDIN,YOUTUBE,TWITTER
1,"Radisson Blu Hotel, New Delhi Paschim Vihar",Hotel,"Outer Ring Rd, Sunder Vihar, Paschim Vihar, New Delhi, Delhi, 110087, India",Delhi,011 4639 9999,,,,,,4.4,27947,,"establishment, lodging, point_of_interest",https://www.radissonhotels.com/en-us/hotels/radisson-blu-new-delhi-paschim-vihar?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INDLDELPVI,,,,,
2,"De Pavilion Hotel, Delhi",Hotel,"250-A, Road No. 6, Block RZ, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India",New Delhi,089299 00076,,,,,,4.4,3321,,"establishment, lodging, point_of_interest",https://depavilion.com/,,,,,
3,"Taj Palace, New Delhi",Luxury Hotel,"2, Sardar Patel Marg, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India",New Delhi,011 2611 0202,,,,,,4.7,34805,,"establishment, lodging, point_of_interest",https://www.tajhotels.com/en-in/hotels/taj-palace-new-delhi/rooms-and-suites?utm_source=google&utm_medium=local&utm_campaign=taj-palace-new-delhi,,,,,
4,"Radisson Blu Marina Hotel, Delhi Connaught Place",Hotel,"G-59 Connaught Circus, Block G, Connaught Place, New Delhi, Delhi 110001, India",New Delhi,011 4690 9090,,,,,,4.6,20185,,"establishment, lodging, point_of_interest",https://www.radissonhotels.com/en-us/hotels/radisson-blu-marina-new-delhi-connaught-place?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INDLDELMAR,,,,,
5,IIDL Suites,Hotel,"Plot No 4A, District Centre, Mayur Place, Phase 1, Mayur Vihar, Delhi, 110091, India",Delhi,011 4766 8888,,,,,,4.2,4627,,"establishment, lodging, point_of_interest",http://iidlhospitality.com/,,,,,
6,Hotel Golden Oasis Delhi,Hotel,"901 Chandi Wali Street, Main Bazar Rd, near AXIS bank ATM, Ratan Lal Market, Aram Bagh, Paharganj, New Delhi, Delhi 110055, India",New Delhi,097176 86744,,,,,,4.3,2967,,"establishment, lodging, point_of_interest",http://hotelgoldenoasis.com/,,,,,
7,"The Oberoi, New Delhi",Boutique Hotel,"Dr Zakir Hussain Marg, Delhi Golf Club, Golf Links, New Delhi, Delhi 110003, India",New Delhi,011 6911 0606,,,generalmanager.delhi@oberoihotels.com,reservations@oberoigroup.com,,4.6,11764,,"bar, establishment, food, lodging, point_of_interest, restaurant, spa",https://www.oberoihotels.com/hotels-in-delhi/?utm_source=GMBlisting&utm_medium=organic,https://www.instagram.com/oberoihotels/,https://www.facebook.com/OberoiHotels,,https://www.youtube.com/user/OberoiHotels,https://www.twitter.com/oberoihotels/
8,"The Connaught, New Delhi - IHCL SeleQtions",Boutique Hotel,"37, Shaheed Bhagat Singh Marg, Shivaji Stadium, Connaught Place, New Delhi, Delhi 110001, India",New Delhi,011 6146 7000,,,book.connaught@seleqtionshotels.com,,,4.5,2712,,"establishment, lodging, point_of_interest",https://www.seleqtionshotels.com/en-in/hotels/connaught-new-delhi?utm_source=google&utm_medium=local&utm_campaign=connaught-new-delhi-cla&utm_content=connaught-new-delhi-cla-gmb,,,,,
9,Seven Seas Hotel,Boutique Hotel,"12, Mangalam Place, Sector 3, Rohini, New Delhi, Delhi, 110085, India",Delhi,011 4340 0000,9990200004,,info@sevenseashotel.com,,,4.3,11543,,"establishment, lodging, point_of_interest",http://www.sevenseashotel.com/,https://www.instagram.com/sevenseashotel/,https://www.facebook.com/sevenseashotels/,,https://www.youtube.com/channel/UCVPE-cgIISp88kBHpuA4_rg,https://twitter.com/Sevenseashotel
10,Pride Plaza Aerocity,Hotel,"Asset 5-A, Hospitality District, Indira Gandhi International Airport, Aerocity, New Delhi, Delhi 110037, India",New Delhi,011 7160 0700,,,reservations.aerocity@pridehotel.com,centralreservations@pridehotel.com,,4.9,27293,,"establishment, lodging, point_of_interest",https://www.pridehotel.com/pride-plaza-hotel-aerocity-new-delhi-hotel/,https://www.instagram.com/thepridehotels/,https://www.facebook.com/ThePrideHotels/,,,
11,"Svelte Delhi, a member of Radisson Individuals",Hotel,"Select Citywalk Mall, A-3, Saket District Centre, District Centre, Sector 6, Pushp Vihar, New Delhi, Delhi 110017, India",New Delhi,011 4051 2000,,,,,,4.2,2300,,"establishment, lodging, point_of_interest",https://www.radissonhotels.com/en-us/hotels/radisson-individuals-svelte-delhi?cid=a:se+b:gmb+c:apac+i:local+e:ri+d:ind+h:INDLICDAAA,,,,,
12,Hotel Gold Regency,Hotel,"4350, Main Bazar Rd, Bagichi Ramchander, Kaseru Walan, Paharganj, New Delhi, Delhi, 110055, India",Delhi,098115 76813,,,,,,4.9,6543,,"establishment, lodging, point_of_interest",https://thegoldregency.com/,,,,,
13,Ramada by Wyndham New Delhi Pitampura,Hotel,"Plot No 10, Rd Number 42, Co-operative Group Housing Societies Pitampura, Pitampura, New Delhi, Delhi, 110034, India",Delhi,011 3503 8659,,,accessibility@wyndham.com,,,3.8,2797,,"establishment, lodging, point_of_interest",https://www.wyndhamhotels.com/ramada/new-delhi-india/ramada-new-delhi-pitampura/overview?CID=LC:wmcic5n98gs1g0r:47921&iata=00093796,https://www.instagram.com/ramadabywyndham/?igshid=1ldltd7a4pc2g,https://www.facebook.com/ramada,,,http://twitter.com/ramadaworldwide
14,hotel apple inn,Hotel,"8690-8691, Arakashan Rd, near St Anthony school, Arya Nagar, Paharganj, New Delhi, Delhi 110055, India",New Delhi,085100 01611,,,,,,4.2,648,,"establishment, lodging, point_of_interest",https://bookings.resavenue.com/resBooking/rooms?regCode=VRXX1028&roomSearchId=ec8256052f044001be0b0a09ed3d7666&adult_1=2,,,,,
15,The Leela Palace New Delhi - The Capital's Only Modern Palace Hotel,Luxury Hotel,"Africa Ave, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110023, India",New Delhi,011 3933 1234,,,reservations@theleela.com,,,4.6,14927,,"establishment, lodging, point_of_interest, spa",https://www.theleela.com/the-leela-palace-new-delhi?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gbp-leela-palace-new-delhi&utm_content=hotel-website-click,https://www.instagram.com/theleela/,https://www.facebook.com/theleela,https://www.linkedin.com/company/theleela,https://www.youtube.com/user/LeelaHotelsOfficial,https://x.com/theleelahotels
16,Hotel Ajanta - Free Airport Pick Up Service,Boutique Hotel,"8647, Arakashan Rd, Ram Nagar, Paharganj, New Delhi, Delhi 110055, India",New Delhi,098185 44466,,,reservations@hotelajanta.com,info@hotelajanta.com,,4.6,4521,,"establishment, lodging, point_of_interest",http://www.hotelajanta.com/,https://www.instagram.com/hotelajantadelhi/,https://www.facebook.com/hotelajanta,,,
17,Hotel Shanti Plaza,Hotel,"Plot No 8651, Arakashan Rd, near Nav Shakti School, Arya Nagar, Paharganj, New Delhi, Delhi 110055, India",New Delhi,093105 95445,,,,,,3.8,1234,,"establishment, lodging, point_of_interest",http://shantiplaza.in/,,,,,
