SR NO,NAME,PROPERTY TYPE,LOCATION,CITY,CONTACT NO 1,CONTACT NO 2,CONTACT NO 3,EMAIL 1,EMAIL 2,EMAIL 3,RATING OUT OF 5,REVIEW COUNT,PRICE PER DAY,LOCATION TYPE,WEBSITE,INSTAGRAM,FACEBOOK,LINKEDIN,YOUTUBE,TWITTER
605,Rajmahal Palace Raas,Apartment,"Sardar Patel Marg, Shivaji Nagar, Jaipur, Rajasthan 302001, India",Jaipur,082399 26000,,,stay@raashotels.com,,,4.7,3104.0,"₹31,900",Hotel,https://www.raashotels.com/rajmahal/,https://www.instagram.com/raashotels,,,,
667,Copacabana-Beachfront-Equipped&Serviced-Apartment-Seaview,Apartment,,Jaipur,,,,,,,,,"₹117,650",,,,,,,
1226,Pax Manor Muthaiga,Boutique Hotel,"58 Muthaiga Rd, Nairobi, Kenya",Jaipur,0116 101010,,,reservations@paxmanormuthaiga.com,,,4.7,1087.0,"₹33,068",Hotel,http://paxmanormuthaiga.com/,https://instagram.com/paxmanor_muthaiga,https://facebook.com/paxmanor,,,
1222,Ololo Safari Lodge & Farm,Boutique Hotel,"Southern Border of the Nairobi, Nairobi, Kenya",Jaipur,0708 844818,,,,,,4.5,414.0,"₹93,480",Hotel,http://www.olololodge.com/,,,,,
596,Dileep Kothi - A Royal Boutique Luxury Suites In Jaipur,Boutique Hotel,"89, Dhuleshwar Garden, Sardar Patel Marg, C Scheme, Jaipur, Rajasthan 302001, India",Jaipur,096600 20209,,,connect@sawaihospitality.com,dileepkothijaipur@gmail.com,dileepkothi@sawaihospitality.com,4.6,136.0,"₹120,383",Hotel,https://www.sawaihospitality.com/dileep-kothi-jaipur/,https://www.instagram.com/dileepkothi/,https://www.facebook.com/dileepkothijaipur,https://www.linkedin.com/in/sawai-hospitality-365231317/,,
608,Nest One - Luxury 2Bhk Farmhouse With Private Pool For Groups In Jaipur,Farm Stay,"Ghati Karolan, Jaipur, Rajasthan 302017, India",Jaipur,,,,,,,,,"₹30,600",Hotel,https://www.booking.com/hotel/in/nest-one-luxury-2bhk-jaipur-farmhouse-with-pvt-pool-amp-garden.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-15479631&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-15479631_grp-3_gendate-20260706,,,,,
609,Alila Fort Bishangarh Jaipur - A Hyatt Brand,Hotel,"Manoharpur - Bishangarh Link Rd, off Nh-8, At, Bishangarh, Rajasthan 303104, India",Jaipur,01422 276 500,,,,,,4.5,2103.0,"₹30,000",Hotel,https://www.hyatt.com/alila-hotels-and-resorts/en-US/jaial-alila-fort-bishangarh?src=corp_lclb_google_seo_jaial&utm_source=google&utm_medium=organic&utm_campaign=lmr,,,,,
607,Stayvista At Kankas House - Bbq & Bonfire,Hotel,"Chokhlawas at Kacherawala, Rajasthan 303805, India",Jaipur,,,,,,,,,"₹31,146",Hotel,https://www.booking.com/hotel/in/kankas-house-jaipur.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14848189&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14848189_grp-1_gendate-20260706,,,,,
1228,Jw Marriott Hotel Nairobi,Hotel,"PRH5+VMC, Chiromo Ln, Nairobi, Kenya",Jaipur,0719 010888,,,,,,4.7,1289.0,"₹31,158",Hotel,https://www.marriott.com/en-us/hotels/nbojw-jw-marriott-hotel-nairobi/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,,,,
1223,Hemingways Eden Residence,Hotel,"94 Tumbili Rd, Nairobi, Kenya",Jaipur,0707 367805,,,,,,4.6,259.0,"₹43,187",Hotel,,,,,,
600,"Ama Stays & Trails Adbhut Mahal, Jaipur",Hotel,"Sirsi Rd, Jaipur, Rajasthan 302041, India",Jaipur,080 6187 3747,,,,,,4.5,73.0,"₹48,400",Hotel,https://www.amastaysandtrails.com/en-in/adbhut-mahal-jaipur,,,,,
669,"15Br-30Pax,300M-Beach & 8Mins Walking Street For Families & Group Retreat",Hotel,"242 main, Sirsi Rd, Hanuman Nagar Extension, Officers Campus, Jaswant Nagar, Jaipur, Rajasthan 302021, India",Jaipur,098876 01786,,,,,,4.9,330.0,"₹84,620",Hotel,,,,,,
674,Condo Edge Central,Hotel,"Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Jaipur,02 027 7888,,,,,,4.1,668.0,"₹105,415",Establishment,https://www.sansiri.com/location/condo-upcountry/?#%E0%B8%84%E0%B8%AD%E0%B8%99%E0%B9%82%E0%B8%94-%E0%B8%8A%E0%B8%A5%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5,,"https://www.facebook.com/v3.2/dialog/oauth?client_id=370090090112797&redirect_uri=https://www.sansiri.com/member/facebook_auth&state=aHR0cHM6Ly93d3cuc2Fuc2lyaS5jb20vbG9jYXRpb24vY29uZG8tdXBjb3VudHJ5Lw==&scope=email,public_profile",,,
672,Tiki Beach House,Hotel,"6,7,8, 5, Delhi by pass road, near safeda farm, Kherwadi, Jaipur, Bishangarh, Rajasthan 302013, India",Jaipur,081144 89868,,,,,,3.9,135.0,"₹108,557",Hotel,http://atolajaipur.com/,,,,,
663,Pandora & Elegant Penthouse Pattaya,Hotel,"68, 22 หมู่ 1, Muang Pattaya, Amphoe Sattahip, Chang Wat Chon Buri 20250, Thailand",Jaipur,095 536 8223,,,,,,4.9,32.0,"₹147,581",Hotel,https://www.facebook.com/emmarinvilla.pattaya,,,,,
662,七星爱旅湾 私人海滩四卧别墅,Hotel,"Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Jaipur,,,,,,,,,"₹154,265",Hotel,https://www.booking.com/hotel/th/qi-xing-ai-lu-wan-si-ren-hai-tan-si-wo-bie-shu.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-12719553&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-12719553_grp-1_gendate-20260706,,,,,
660,D30长住优惠-市中心海边高端别墅区6间卧室泳池别墅,Hotel,"Pattaya City, Bang Lamung District, Chon Buri 20150, Thailand",Jaipur,,,,,,,,,"₹170,309",Hotel,https://www.booking.com/hotel/th/d30chang-zhu-you-hui-shi-zhong-xin-hai-bian-gao-duan-bie-shu-qu-6jian-wo-shi-yon.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-11680687&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-11680687_grp-3_gendate-20260706,,,,,
680,The Hill,Hotel,"Chitanu Road, near Yogi Kirana Store, NIMS University, Jaipur, Kalwad Kalan and Khurd, Rajasthan 303104, India",Jaipur,090019 80675,,,,,,4.9,300.0,"₹213,972",Hotel,,,,,,
