SR NO,NAME,PROPERTY TYPE,LOCATION,CITY,CONTACT NO 1,CONTACT NO 2,CONTACT NO 3,EMAIL 1,EMAIL 2,EMAIL 3,RATING OUT OF 5,REVIEW COUNT,PRICE PER DAY,LOCATION TYPE,WEBSITE,INSTAGRAM,FACEBOOK,LINKEDIN,YOUTUBE,TWITTER
591,Hotel Shruti,Boutique Hotel,"Khasra No. 66, near Kukas, Natata, Amer Chak No.2, Rajasthan 302028, India",Jaipur,01426 352 000,,,clubitc.care@itchotels.com,reservations@itchotels.com,,4.8,768.0,₹816,Hotel,https://www.itchotels.com/in/en/mementosjaipur,https://www.instagram.com/itchotels/?hl=en,https://www.facebook.com/ITCHotels/,https://in.linkedin.com/company/itc-hotels,https://www.youtube.com/user/itchotels,https://x.com/ITCHotelscares
3,Mostel Hotel,Hotel,"plot no 6B, Second Floor, Jhotwara Rd, Shilp Colony, Jhotwara, Jaipur, Rajasthan 302012, India",Jaipur,095882 57941,,,,,,4.7,438,₹648,Hotel,,,,,,
4,Soni House,Other,"Soni House, Dara Market, Ramganj Bazar, Jaipur, Rajasthan 302003, India",Jaipur,,,,,,,,,₹650,Premise,,,,,,
6,Ak Vilas - Best Budgeted Hotel In Jaipur,Hotel,"Near Guru Gobind Ji circle, Main Delhi-Jaipur Highway, NH8, Chungi, near Ramgarh, Punjabi Colony, Shiv Colony, Mod, Jaipur, Rajasthan 302002, India",Jaipur,090244 99095,,,,,,4.7,64,₹699,Hotel,,,,,,
10,Spot On Golden Heights,Hotel,"B-201, Rajendra Marg, Bapu Nagar, Jaipur, Rajasthan 302015, India",Jaipur,,,,,,,4.2,17,₹702,Hotel,,,,,,
7,Hotel Shaan,Villa,"Hotel Shaan, Mirza Ismail Rd, opp. MLA QUATERS, near HANDI RESTAURANRT, R, Ashok Nagar, Jaipur, Rajasthan 302001, India",Jaipur,0124 620 1600,,,,,,3.4,307,₹727,Hotel,https://www.oyorooms.com/38770,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
8,Capitol Square Near Railway Station,Boutique Hotel,"Plot no 865 B, New Sanganer Rd, Davi Nagar, Devi Nagar, Shyam Nagar, Jaipur, Rajasthan 302019, India",Jaipur,070424 24242,9828261666,,hgcdevinagar@gmail.com,,,4.3,36,₹729,Hotel,https://hotelcapitolsquare.com/,,,,,
11,Hotel O Kripa Hotel,Villa,"Khushi Tower, B-8-A, Maa Karni Nagar, B, Vaishali Nagar, Jaipur, Rajasthan 302034, India",Jaipur,0124 433 0567,,,,,,3.9,35,₹730,Hotel,https://www.oyorooms.com/203602/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
12,Hotel Lavya Inn Pratap Nagar.,Hotel,"163/89, Sector 16, Pratap Nagar, Jaipur, Rajasthan 302033, India",Jaipur,0124 433 0567,,,,,,5,22,₹730,Hotel,,,,,,
593,Hotel O Royal Blue,Hotel,"Plot no 291, Jhotwara Rd, Heera Nagar Extension, Amrapali Circle, Vaishali Nagar, Jaipur, Rajasthan 302021, India",Jaipur,0124 433 0567,,,,,,3.5,361.0,₹732,Hotel,https://www.oyorooms.com/84777/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
