SR NO,NAME,PROPERTY TYPE,LOCATION,CITY,CONTACT NO 1,CONTACT NO 2,CONTACT NO 3,EMAIL 1,EMAIL 2,EMAIL 3,RATING OUT OF 5,REVIEW COUNT,PRICE PER DAY,LOCATION TYPE,WEBSITE,INSTAGRAM,FACEBOOK,LINKEDIN,YOUTUBE,TWITTER
1,Green Fog Guesthouse,Hotel,"ambavane village, near Aamby Valley City, Lonavala, Ambavne, Maharashtra 410401, India",Lonavala,098929 95031,,,,,,4.4,167,"₹1,350",Hotel,http://www.greenfog.co.in/,,,,,
2,The Imperial Heritage,Hotel,"Off Old Mumbai Pune Highway, Petrol pump, Tungarli Rd, opposite Regenta Hotel, behind BPCL, Gawliwada, Gavliwada, Lonavala, Maharashtra 410401, India",Lonavala,085919 49477,,,,,,4.3,214,"₹1,500",Hotel,,,,,,
3,Hotel Sai Laxmi Residency,Hotel,"opposite Tata Camp, Tungarli, Lonavala, Maharashtra 410401, India",Lonavala,085307 12735,,,,,,3.7,101,"₹1,600",Hotel,https://www.hotellaxmiresidencylonavala.in/,,,,,
4,"Gram'S At Shivom, Pawna Lake By Stayvista",Hotel,"Survey No. 144, Pawna, Gevhande Apati, Lonavala, Maharashtra 410401, India",Lonavala,086526 32278,,,,,,4.7,357,"₹1,533",Hotel,https://www.stayvista.com/grams,,,,,
5,Voyage Zo Lonavala,Hotel,"35A Plot 1, At-Bhaje, nr. Malavli local stn, Samparc, Lonavala, Bhaje, Maharashtra 410405, India",Lonavala,096993 78891,7824625350,7824625352,,,,4.6,580,"₹1,770",Hotel,https://thevoyagehospitality.in/,,,,,
6,Swapnapurti Holiday Home,Hotel,"near Railway Gate, Gaothan, Khandala, Lonavala, Maharashtra 410301, India",Lonavala,072639 34120,,,,,,4.5,91,"₹1,695",Hotel,,,,,,
7,Hotel Rain Sky Inn,Hotel,"Old Mumbai - Pune Hwy, opp. Manashkti Kendra, Varsoli, Maharashtra 410403, India",Lonavala,081499 41681,+918149941681,,,,,4.1,1301,"₹2,100",Hotel,https://hotelrainskyinn.com/,,,,,
8,Hotel O Sai Residenci,Hotel,"Dongergaonwadi, G.no.226, Pawna Road, near Z P School, near Pawan Lake, Gold Valley Sector D, Gold Valley, Lonavala, Maharashtra 410401, India",Lonavala,0124 433 0578,,,,,,2.5,158,"₹1,893",Hotel,https://www.oyorooms.com/106083/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
9,Hashtag Travellers By Mody Stays,Hotel,"Q98R+QHF, Parshwapuram, Kune N.m., Maharashtra 410403, India",Lonavala,080552 84545,,,,,,4.7,179,"₹2,002",Hotel,,,,,,
10,Hotel Sandesh Palace Lonavala,Luxury Hotel,"QF64+R3R, Old Mumbai - Pune Hwy, near Kinara Dhaba, Kinara, Waksai, Lonavala, Maharashtra 410403, India",Lonavala,084118 87855,,,,,,4.6,41,"₹2,500",Hotel,https://www.himyb.io/hotelsandeshpalace,,https://www.facebook.com/sharer/sharer.php?u=https://www.himyb.io/social-media/1548/click,,,https://twitter.com/intent/tweet?url=https://www.himyb.io/social-media/1548/click
