SR NO,NAME,PROPERTY TYPE,LOCATION,CITY,CONTACT NO 1,CONTACT NO 2,CONTACT NO 3,EMAIL 1,EMAIL 2,EMAIL 3,RATING OUT OF 5,REVIEW COUNT,PRICE PER DAY,LOCATION TYPE,WEBSITE,INSTAGRAM,FACEBOOK,LINKEDIN,YOUTUBE,TWITTER
1,Radisson Resort & Spa Lonavala,Resort,"Plot No - 19-21 & 27-29, Gold Valley Sector D, Tungarli, Lonavala, Maharashtra 410401, India",Lonavala,02114 671 111,,,,,,4.7,7446,,"establishment, lodging, point_of_interest",https://www.radissonhotels.com/en-us/hotels/radisson-resort-lonavala-spa?cid=a:se+b:gmb+c:apac+i:local+e:rad+d:ind+h:INMHPNQRSP,,,,,
2,Della Resorts,Resort,"Della Enclave Rd, Kune Village, Khandala, Kune N.m., Maharashtra 410401, India",Kune N.m.,,8003000744,+91 9000065511,indoresales@dellaresorts.com,mumbaisales@dellaresorts.com,punesales@dellaresorts.com,4.4,11898,,"establishment, food, lodging, point_of_interest, restaurant, spa",https://www.dellaresorts.com/,https://www.instagram.com/dellaresortsandadventure,https://www.facebook.com/dellaresortsandadventure,,https://www.youtube.com/channel/UC90wL9YVyIhWUq1mkn9rWDA,https://x.com/DellaResorts
3,The Lagoona Resort,Resort,"S No. 55, Gold Valley Sector D, Tungarli, Lonavala, Maharashtra 410403, India",Lonavala,096070 19266,,,,,,4.1,1166,,"establishment, lodging, point_of_interest",https://www.thelagoonaresort.com/#,,,,,
4,Hotel Five Elements - Resort - Lonavala,Resort,"Gat no 49, Old Mumbai - Pune Hwy, behind Baar Baar Dhaba, Varsoli, Maharashtra 410401, India",Varsoli,083083 08373,,,bookings.fiveelements@gmail.com,fiveelementshotel@gmail.com,,4.4,2330,,"establishment, lodging, point_of_interest",https://fiveelementshotel.com/,https://www.instagram.com/fiveelementshotel/profilecard/?igsh=NmZ0M2MxcWVzanVs,https://www.facebook.com/share/1AE7jmeJFk/?mibextid=qi2Omg,,,
5,The Fern Lonavala,Hotel,"84/1 to 4/2, Maval, Valvan, Lonavala, Maharashtra 410403, India",Lonavala,02114 661 800,,,fom.tf.lonavala@fernhotels.com,gm.tf.lonavala@fernhotels.com,res.tf.lonavala@fernhotels.com,4.3,2427,,"establishment, lodging, point_of_interest",https://www.fernhotels.com/hills-mountains/the-fern-lonavala,,https://www.facebook.com/sharer/sharer.php?u=,https://www.linkedin.com/shareArticle?mini=true&url=,,https://twitter.com/intent/tweet?url=
6,The Bark - An Art Resort,,"Plot No. 5 & 6, Old, behind Hotel Fariyas, Tungarli, Lonavala, Maharashtra 410401, India",Lonavala,091361 76204,,,,,,4.3,1151,,"establishment, food, lodging, point_of_interest, restaurant",,,,,,
7,Meritas Crystal Resort - Lonavala,Resort,"36, Frichly Hill, Old Mumbai - Pune Hwy, opp. रहेजा हिल रिसॉर्ट, Tungarli, Lonavala, Maharashtra 410401, India",Lonavala,096895 21111,+91 9359337687,+91 7262800021,info@meritashotels.com,info.crystal@meritashotels.com,,4.0,2467,,"establishment, lodging, point_of_interest",https://meritashotels.com/crystal-resort-lonavala/,https://www.instagram.com/meritas_hotels_resorts/,https://www.facebook.com/meritashotelsandresorts,https://www.linkedin.com/company/meritashotelsandresorts/,,https://twitter.com/meritashotels
8,7 Apple Resort - Lonavala,Resort,"Sr. No 30, New, Gold Valley, Tungarli Road, Sector E, Tungarli, Lonavala, Maharashtra 410403, India",Lonavala,074100 27777,,,sales@7applehotels.com,,,4.7,5196,,"establishment, food, lodging, point_of_interest, restaurant",https://www.7applehotels.com/lonavala-resort-overview?utm_source=Google&utm_medium=GMB,https://www.instagram.com/7applehotels/,https://www.facebook.com/7AppleHotels/,https://www.linkedin.com/company/7applehotelsandresorts/,https://www.youtube.com/c/7applehotelsandresorts,
9,VITS Lonavala,,"69/1, Old Mumbai - Pune Hwy, Varsoli, Lonavala, Varsoli, Maharashtra 410401, India",Varsoli,099874 12239,,,,,,4.5,1024,,"establishment, lodging, point_of_interest",,,,,,
10,"Arova Woods Zinc Journey by The Fern, Lonavala",Hotel,"Old Mumbai - Pune Hwy, near HP petrol pump, Rao Colony, Lonavala, Maharashtra 410401, India",Lonavala,02114 270 013,,,,,,4.5,910,,"establishment, lodging, point_of_interest",https://zinchotels.com/arova-woods-zinc-journey-by-the-fern-lonavala/,https://instagram.com,https://www.facebook.com,,,https://twitter.com
11,Rhythm Lonavala: An All-Suite Resort,Resort,"Bajrang Baug Gardens On, Old Mumbai - Pune Hwy, Tungarli, Lonavala, Maharashtra 410401, India",Lonavala,087677 52752,,,info@rhythmhospitality.com,dm.lnl@rhythmhospitality.com,reservations.lnl@rhythmhospitality.com,4.4,5916,,"establishment, food, health, lodging, point_of_interest, restaurant, spa",https://www.rhythmhospitality.com/resorts/rhythm-lonavala/,https://www.instagram.com/rhythmlonavala/,https://www.facebook.com/profile.php?id=61557880756778,,https://www.youtube.com/watch?v=Lj2SLgSJr8k,
12,Upper Deck Resort,Resort,"13/15, off Tungarli Lake Pangloli Village, Thakurwadi, Gold Valley, Lonavala, Pangaloli, Maharashtra 410401, India",Pangaloli,,,,,,,4.0,4620,,"establishment, lodging, point_of_interest",http://theupperdeckresort.com/,,,,,
