SR NO,NAME,PROPERTY TYPE,LOCATION,CITY,CONTACT NO 1,CONTACT NO 2,CONTACT NO 3,EMAIL 1,EMAIL 2,EMAIL 3,RATING OUT OF 5,REVIEW COUNT,PRICE PER DAY,LOCATION TYPE,WEBSITE,INSTAGRAM,FACEBOOK,LINKEDIN,YOUTUBE,TWITTER
566,Urban Nest Jaipur,Hotel,,Jaipur,,,,,,,,,"₹30,000",,,,,,,
567,"Stayvista At The Leo'S Manor With Bonfire, Pool",Hotel,"Basra, Rajasthan 303604, India",Jaipur,,,,,,,,,"₹29,817",Hotel,https://www.booking.com/hotel/in/stayvista-at-the-leos-manor.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-14092521&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-14092521_grp-1_gendate-20260705,,,,,
568,Raffles Jaipur,Hotel,"Khasara No 2060, 2061/2267, Amer, Kukas, Rajasthan 302028, India",Jaipur,,,,,,,4.5,493.0,"₹29,600",Hotel,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=B5N1&merchantid=seo-maps-India-B5N1&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,https://www.instagram.com/all.accor,https://www.facebook.com/ALL/,https://www.linkedin.com/company/all-accorlivelimitless/,https://www.youtube.com/All_AccorLiveLimitless,https://twitter.com/all
569,The Leela Palace Jaipur,Luxury Hotel,"The Leela Palace, NH 11, Delhi Expressway, Kukas, Kookas, Rajasthan 302038, India",Jaipur,01426 350 000,,,reservations@theleela.com,,,4.6,4422.0,"₹27,000",Hotel,https://www.theleela.com/the-leela-palace-jaipur?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gbp-leela-palace-jaipur&utm_content=hotel-website-click,https://www.instagram.com/theleela/,https://www.facebook.com/theleela,https://www.linkedin.com/company/theleela,https://www.youtube.com/user/LeelaHotelsOfficial,https://x.com/theleelahotels
570,Alaya Stays Ramalaya 8 Bhk Villa With Garden,Villa,"RAMALYA 11/37, Girdhar Marg, Sector 11, Malviya Nagar, Jaipur, Rajasthan 302017, India",Jaipur,079 6931 6141,,,,,,4.9,79.0,"₹26,973",Hotel,https://www.elivaas.com/villa-in-jaipur/ramalaya-one-room-in-jaipur,,,,,
571,Hotel Sugandh Retreat Near Bus Stand Jaipur,Hotel,"13. Bichoon Bagh, Sansar Chandra Rd, opp. Amber Tower, Azad Basti, Shri Ram Colony, Sindhi Camp, Jaipur, Rajasthan 302001, India",Jaipur,096724 44880,+91-9672444880,,hotelsugandhretreat@gmail.com,,,4.0,984.0,"₹25,500",Hotel,http://www.hotelsugandhretreat.com/,https://www.instagram.com/,https://www.facebook.com/,,,https://x.com/
572,Aashirwad Delight 2 Jaipur Homestay,Hotel,"Subash Nagar, Sen Colony, Bani Park, Jaipur, Rajasthan 302016, India",Jaipur,,,,,,,,,"₹24,300",Hotel,https://www.agoda.com/,,,,,
573,"Elivaas Noahs Ark 3 Bhk Villa With Pvt Pool, Garden & Gazebo",Villa,"MANGALAM MAPPLE WOOD SOCITY, near Sanskar Vidhya Mandir Sec. School, Gunawata, Rajasthan 303003, India",Jaipur,079 6931 6140,,,,,,4.4,43.0,"₹24,006",Hotel,https://www.elivaas.com/villa-in-jaipur/noahs-ark-3bhk-villa-with-private-pool,,,,,
574,Samode Haveli,Hotel,"Gangapole Road Near, Jorawar Singh Gate, Gangapole, Jaipur, Rajasthan 302002, India",Jaipur,0141 263 2370,,,,,,4.5,1953.0,"₹23,471",Hotel,https://samode.com/samode-haveli/,,,,,
575,"Stayvista At Blume Villa With Pool, Bbq",Villa,"Blume Villa, Maanvihar-D, 208 Bilwa, near Vasundhra Kutumbh Flats, Chokhi Dhani, Sukhdeopura Nohara, Jaipur, Jaisinghpura at Bas Beelwa, Rajasthan 302022, India",Jaipur,081049 54254,,,,,,4.9,14.0,"₹22,726",Hotel,https://www.stayvista.com/villa/blume-villa,,,,,
576,Anantara Jewel Bagh Jaipur,Hotel,"Tonk Rd, Bilwa, Sitapura, Jaipur, Manpur Nagalya, Rajasthan 302022, India",Jaipur,0141 312 9129,,,,,,4.7,830.0,"₹22,500",Hotel,https://www.anantara.com/jewel-bagh-jaipur?utm_source=GoogleMyBusiness&utm_medium=GMB&utm_term=Jaipur&utm_content=Home&utm_campaign=Google_GMB,,,,,
