SR NO,NAME,PROPERTY TYPE,LOCATION,CITY,CONTACT NO 1,CONTACT NO 2,CONTACT NO 3,EMAIL 1,EMAIL 2,EMAIL 3,RATING OUT OF 5,REVIEW COUNT,PRICE PER DAY,LOCATION TYPE,WEBSITE,INSTAGRAM,FACEBOOK,LINKEDIN,YOUTUBE,TWITTER
1,Sunrise Guest House,Hotel,"swami colony, Plot no.9, opposite haji colony, Kanti Nagar, Sindhi Camp, Jaipur, Rajasthan 302016, India",Jaipur,,,,,,,4.1,36,₹559,Hotel,,,,,,
2,Ranak Palace - A Luxury Home Stay,Luxury Hotel,"Plot -187, mitra nagar, tara nagar, gokulpura, Tara Nagar E, Jhotwara, Jaipur, Rajasthan 302012, India",Jaipur,091666 63769,,,,,,4.8,58,₹630,Hotel,http://ranakpalace.in/,,,,,
3,Mostel Hotel,Hotel,"plot no 6B, Second Floor, Jhotwara Rd, Shilp Colony, Jhotwara, Jaipur, Rajasthan 302012, India",Jaipur,095882 57941,,,,,,4.7,435,₹648,Hotel,,,,,,
4,Soni House,Hotel,"Soni House, Dara Market, Ramganj Bazar, Jaipur, Rajasthan 302003, India",Jaipur,,,,,,,,,₹650,Premise,,,,,,
5,Hotel Dharohar Palace,Luxury Hotel,"1, Khetri house , Near Hotel Bissau Palace , Outside, Chandpole Gate, Vivekanand Colony, Purani Basti, Jaipur, Rajasthan 302016, India",Jaipur,090010 40584,,,,,,3.6,899,₹697,Hotel,,,,,,
6,Ak Vilas - Best Budgeted Hotel In Jaipur,Hotel,"Municipal Corporation, Deewan Colony, Shiv Colony, Shankar Nagar, Jaipur, Rajasthan 302002, India",Jaipur,0124 433 0567,,,,,,4.6,166,₹699,Hotel,https://www.oyorooms.com/228181/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
7,Hotel Shaan,Hotel,"Hotel Shaan, Mirza Ismail Rd, Panch Batti, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",Jaipur,0124 620 1600,,,,,,3.4,307,₹727,Hotel,https://www.oyorooms.com/38770,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
8,Capitol Square Near Railway Station,Boutique Hotel,"Plot no 865 B, New Sanganer Rd, Davi Nagar, Devi Nagar, Shyam Nagar, Jaipur, Rajasthan 302019, India",Jaipur,070424 24242,9828261666,,hgcdevinagar@gmail.com,,,4.3,36,₹729,Hotel,https://hotelcapitolsquare.com/,,,,,
9,Hotel Grand Eagle Group,Boutique Hotel,"Commercial Complex, C-50, near JECC, Sanganer, Sitapura Industrial Area, Sitapura, Jaipur, Rajasthan 302022, India",Jaipur,063678 50548,,,reservations@hotelgrandeagle.com,,,3.8,546,₹734,Hotel,https://hotelgrandeagle.in/,,,,,
10,Hotel Lavya Inn Pratap Nagar.,Hotel,"A 113, Govind Marg, Nakshtra Villa Rail Nagar, Devi Nagar, Shyam Nagar, Jaipur, Rajasthan 302019, India",Jaipur,0124 433 0567,,,,,,3.6,70,₹730,Hotel,https://www.oyorooms.com/91912/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
11,Jaipur Jantar Hostel,Hotel,"Jalupura, Jaipur, Rajasthan 302001, India",Jaipur,098290 40897,9829040897,+91 9829040897,jaipurjantar1@gmail.com,,,4.8,1104,₹765,Hotel,http://jaipurjantarhostel.com/,https://www.instagram.com/jaipurjantarbackpackershostel/?hl=en,https://www.facebook.com/jaipurjantarbackpackershostel/,,,
12,Hotel O Royal Blue,Hotel,"Plot no 291, Jhotwara Rd, Heera Nagar Extension, Amrapali Circle, Vaishali Nagar, Jaipur, Rajasthan 302021, India",Jaipur,0124 433 0567,,,,,,3.5,361,₹804,Hotel,https://www.oyorooms.com/84777/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
13,Madhav Guest House,Hotel,"S-2, Kabir Marg, Sen Colony, Gopalbari, Jaipur, Rajasthan 302006, India",Jaipur,081079 65504,,,,,,4.2,226,₹799,Hotel,https://guest-houses.in/,,,,,
14,Hotel Chit Chat Palace,Luxury Hotel,"D-160, Kabir Marg, Subash Nagar, Sen Colony, Bani Park, Jaipur, Rajasthan 302016, India",Jaipur,,,,,,,4,158,₹800,Hotel,,,,,,
15,Rani Mahal Hotel,Hotel,"Plot No: 24, Lane Number 3, Hawa Sadak, Nandpuri Colony, Bais Godam, Jaipur, Rajasthan 302006, India",Jaipur,094140 42958,,,,,,3.9,1328,₹800,Hotel,https://ranimahaljaipur.com/,,,,,
16,Royal Guest House,Hotel,"JECC India Gate, Novotel, Tonk Rd, opposite JECRC college, near BP Petrol pump and Intercontinental, Sitapura Industrial Area, Sanganer, Sitapura, Jaipur, Rajasthan 302022, India",Jaipur,098877 79998,,,,,,4.2,42,₹800,Hotel,https://www.instagram.com/royalguesthousejaipur1?igsh=MTA2Zm1kemJ2aDU0aA==,,,,,
17,Hotel Yes,Hotel,"724, Moti Doongri Rd, near laal khoti police station, Sanganeri Gate, Central Jail, Fateh Tibba, Adarsh Nagar, Jaipur, Rajasthan 302004, India",Jaipur,073001 09907,,,,,,4,210,₹800,Hotel,,,,,,
18,Nahar Singh Haveli,Hotel,"46, Kanti Nagar, Sindhi Camp, Jaipur, Rajasthan 302006, India",Jaipur,098283 63413,,,,,,4.6,3211,₹800,Hotel,,,,,,
19,Hotel J K Inn,Hotel,"Haldighati Marg, Sector 17, Pratap Nagar, Jaipur, Rajasthan 302033, India",Jaipur,063769 47240,,,,,,5,33,₹800,Hotel,,,,,,
20,Give Yourself The Comfort Of Cozy Stays,Hotel,,Jaipur,,,,,,,,,₹809,,,,,,,
21,Hotel O Kripa Hotel,Hotel,"Khushi Tower, B-8-A, Maa Karni Nagar, B, Vaishali Nagar, Jaipur, Rajasthan 302034, India",Jaipur,0124 433 0567,,,,,,3.9,35,₹789,Hotel,https://www.oyorooms.com/203602/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
22,Hotel Apex Intercontinental,Hotel,"Shop No-689, Sewa Sadan Marg, near Baraf Khana, Frontier Colony, Adarsh Nagar, Jaipur, Rajasthan 302004, India",Jaipur,070424 24242,+91-7042424242,,,,,3.5,725,₹837,Hotel,https://www.fabhotels.com/hotels-in-jaipur/fabhotel-apex-intercontinental.html?utm_source=GMB&utm_medium=organic&utm_campaign=GMB_Traffic,https://www.instagram.com/fabhotels,,https://www.linkedin.com/company/fabhotels-com/,https://youtube.com/@fabhotelsindia,
23,Super Collection O Govind Marg,Hotel,"31, Govind Marg, Nakshtra Villa Rail Nagar, Devi Nagar, Shyam Nagar, Jaipur, Rajasthan 302019, India",Jaipur,0124 433 0567,,,,,,3.3,939,₹814,Hotel,https://www.oyorooms.com/104618/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
24,Super Hotel O Tourist Residency,Hotel,"Plot No.68, Jobnerbag, Main, Station Rd, Before, Reserve Police Line, Sindhi Camp, Jaipur, Rajasthan 302006, India",Jaipur,0124 433 0567,,,,,,4.2,183,₹815,Hotel,https://www.oyorooms.com/177450/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
25,Ak Guest House,Hotel,"XVC9+RJ, Momin Mohalla Masjid, Jal Mahal, Amer, Jaipur, Rajasthan 302028, India",Jaipur,,,,,,,5,2,₹850,Hotel,,,,,,
26,Hotel Chandra Light,Hotel,"Station Rd, opp. Central Bus Stand, Shri Ram Colony, Sindhi Camp, Jaipur, Rajasthan 302006, India",Jaipur,0141 237 8233,,,,,,3.6,784,₹850,Hotel,,,,,,
27,Royal Hill View Guest House,Hotel,"Mount Rd, opposite paliwal carpet & textiles, Chhipiwara, Brahampuri, Jaipur, Rajasthan 302002, India",Jaipur,081041 95488,,,,,,4.8,9,₹850,Hotel,https://www.booking.com/hotel/in/royal-hill-view-guest-house.html?aid=affiliate_id&chal_t=1771063577364&force_referer=https://www.google.com/,,,,,
28,Fabhotel Pearl Square,Hotel,"A-41, A-42, SIKAR HOUSE COLONY, SHASTRI NAGAR, HAJI COLONY, JAGDAMBA TOWER JAIPUR (RAJASTHAN) PIN 302016, Shiv Vihar Colony, Subhash Nagar, Jaipur, Rajasthan 302016, India",Jaipur,070424 24242,,,,,,3.7,235,₹850,Hotel,https://www.fabhotels.com/hotels-in-jaipur/fabhotel-pearl-square-i-vgzuoitw.html,https://www.instagram.com/fabhotels,,https://www.linkedin.com/company/fabhotels-com/,https://youtube.com/@fabhotelsindia,
29,Angel Paradise,Hotel,"109 Eezah Haveli, Dhuleshwar Garden, Ajmer Rd, C-Scheme, Patel Colony, Hathroi, Jaipur, Rajasthan 302001, India",Jaipur,086190 96694,,,,,,4.5,176,₹855,Hotel,,,,,,
30,Hotel O Angel Paradise,Hotel,"109 Eezah Haveli, Dhuleshwar Garden, Ajmer Rd, C-Scheme, Patel Colony, Hathroi, Jaipur, Rajasthan 302001, India",Jaipur,086190 96694,,,,,,4.5,176,₹831,Hotel,,,,,,
31,Hotel O Kanhaiya,Hotel,"Plot No.B23, ,Lal Kothi Shopping Centre, Lalkothi, Jaipur, Rajasthan 302016, India",Jaipur,0124 620 1526,,,,,,3.6,293,₹842,Hotel,https://www.oyorooms.com/10939,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
32,Hotel O Aabha Residency,Hotel,"Lakshmi sarovar colony, Plot no 6-7, near manipal university, Mansinghpura, Begas, Rajasthan 303007, India",Jaipur,082094 01440,9178385369,,,,,4.8,51,₹855,Hotel,https://www.oyorooms.com/325050/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
