SR NO,NAME,PROPERTY TYPE,LOCATION,CITY,CONTACT NO 1,CONTACT NO 2,CONTACT NO 3,EMAIL 1,EMAIL 2,EMAIL 3,RATING OUT OF 5,REVIEW COUNT,PRICE PER DAY,LOCATION TYPE,WEBSITE,INSTAGRAM,FACEBOOK,LINKEDIN,YOUTUBE,TWITTER
1,Sunrise Guest House,Hotel,"swami colony, Plot no.9, opposite haji colony, Kanti Nagar, Sindhi Camp, Jaipur, Rajasthan 302016, India",Jaipur,,,,,,,4.1,36,₹559,Hotel,,,,,,
2,Checkpoint Backpacker Jaipur,Hotel,"151, Gali Number 7, Barkat Nagar, Tonk Phatak, Jaipur, Rajasthan 302015, India",Jaipur,,,,,,,,,₹590,Hotel,,,,,,
3,Ranak Palace - A Luxury Home Stay,Luxury Hotel,"Plot -187, mitra nagar, tara nagar, gokulpura, Tara Nagar E, Jhotwara, Jaipur, Rajasthan 302012, India",Jaipur,091666 63769,,,,,,4.8,58,₹630,Hotel,http://ranakpalace.in/,,,,,
4,Mostel Hotel,Hotel,"plot no 6B, Second Floor, Jhotwara Rd, Shilp Colony, Jhotwara, Jaipur, Rajasthan 302012, India",Jaipur,095882 57941,,,,,,4.7,435,₹648,Hotel,,,,,,
5,Soni House,Hotel,"Soni House, Dara Market, Ramganj Bazar, Jaipur, Rajasthan 302003, India",Jaipur,,,,,,,,,₹650,Premise,,,,,,
6,Hotel Dharohar Palace,Luxury Hotel,"1, Khetri house , Near Hotel Bissau Palace , Outside, Chandpole Gate, Vivekanand Colony, Purani Basti, Jaipur, Rajasthan 302016, India",Jaipur,090010 40584,,,,,,3.6,899,₹697,Hotel,,,,,,
7,Ak Vilas - Best Budgeted Hotel In Jaipur,Hotel,"Municipal Corporation, Deewan Colony, Shiv Colony, Shankar Nagar, Jaipur, Rajasthan 302002, India",Jaipur,0124 433 0567,,,,,,4.6,166,₹699,Hotel,https://www.oyorooms.com/228181/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
8,Om Trance Homestay,Hotel,"3rd, 40, Tonk Rd, beside Decent Library, near Airport Terminal 2, kalyan Nagar, Sanganer, Jaipur, Rajasthan 302029, India",Jaipur,094147 71788,+91 9414771788,,,,,4.4,118,₹700,Hotel,https://sites.google.com/view/om-trance-hostel/home,,,,,
9,Hotel Lavya Inn Pratap Nagar.,Hotel,"A 113, Govind Marg, Nakshtra Villa Rail Nagar, Devi Nagar, Shyam Nagar, Jaipur, Rajasthan 302019, India",Jaipur,0124 433 0567,,,,,,3.6,70,₹682,Hotel,https://www.oyorooms.com/91912/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
10,Hotel Shaan,Hotel,"Hotel Shaan, Mirza Ismail Rd, Panch Batti, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302001, India",Jaipur,0124 620 1600,,,,,,3.4,307,₹727,Hotel,https://www.oyorooms.com/38770,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
11,Hotel Grand Eagle Group,Boutique Hotel,"Commercial Complex, C-50, near JECC, Sanganer, Sitapura Industrial Area, Sitapura, Jaipur, Rajasthan 302022, India",Jaipur,063678 50548,,,reservations@hotelgrandeagle.com,,,3.8,546,₹734,Hotel,https://hotelgrandeagle.in/,,,,,
12,Capitol Square Near Railway Station,Boutique Hotel,"Plot no 865 B, New Sanganer Rd, Davi Nagar, Devi Nagar, Shyam Nagar, Jaipur, Rajasthan 302019, India",Jaipur,070424 24242,9828261666,,hgcdevinagar@gmail.com,,,4.3,36,₹743,Hotel,https://hotelcapitolsquare.com/,,,,,
13,Hotel O Kripa Hotel,Hotel,"Khushi Tower, B-8-A, Maa Karni Nagar, B, Vaishali Nagar, Jaipur, Rajasthan 302034, India",Jaipur,0124 433 0567,,,,,,3.9,35,₹730,Hotel,https://www.oyorooms.com/203602/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
14,Jaipur Jantar Hostel,Hotel,"Jalupura, Jaipur, Rajasthan 302001, India",Jaipur,098290 40897,9829040897,+91 9829040897,jaipurjantar1@gmail.com,,,4.8,1104,₹765,Hotel,http://jaipurjantarhostel.com/,https://www.instagram.com/jaipurjantarbackpackershostel/?hl=en,https://www.facebook.com/jaipurjantarbackpackershostel/,,,
15,Super Collection O Govind Marg,Hotel,"31, Govind Marg, Nakshtra Villa Rail Nagar, Devi Nagar, Shyam Nagar, Jaipur, Rajasthan 302019, India",Jaipur,0124 433 0567,,,,,,3.3,939,₹740,Hotel,https://www.oyorooms.com/104618/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
16,Hotel O Jagatpura Near Jtm Mall Formerly Royan Inn,Hotel,"B, 15, Bajrang Colony, Jagatpura, Jaipur, Rajasthan 302017, India",Jaipur,0124 433 0599,,,,,,3.5,118,₹777,Hotel,https://www.oyorooms.com/110097/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
