SR NO,NAME,PROPERTY TYPE,LOCATION,CITY,CONTACT NO 1,CONTACT NO 2,CONTACT NO 3,EMAIL 1,EMAIL 2,EMAIL 3,RATING OUT OF 5,REVIEW COUNT,PRICE PER DAY,LOCATION TYPE,WEBSITE,INSTAGRAM,FACEBOOK,LINKEDIN,YOUTUBE,TWITTER
86,Hotel Rangoli,Hotel,"E-5, Mirza Ismail Rd, opp. Natraj Restaurant, Panch Batti, Jayanti Market, New Colony, Jaipur, Rajasthan 302001, India",Jaipur,099821 23028,,,,,,3.7,386.0,"₹1,000",Hotel,,,,,,
87,Baba Haveli Heritage Hotel,Hotel,"60A, RPA Rd, Block B, Sanjay Colony, Nehru Nagar, Jaipur, Rajasthan 302016, India",Jaipur,,,,,,,5.0,6.0,"₹1,000",Hotel,,,,,,
88,Hotel Galaxy Inn,Hotel,"XQPF+W49, 9 Number Sikar Rd, Vishwakarma Industrial Area, Murlipura, Jaipur, Rajasthan 302013, India",Jaipur,097821 49699,,,,,,4.1,862.0,"₹1,000",Hotel,,,,,,
89,Basuki Hotel,Hotel,"Chetak Vihar, 208, Agra Rd, near Apollo College, Vrindavan Vihar, Jaipur, Rajasthan 302031, India",Jaipur,092567 07718,,,,,,4.9,75.0,"₹1,000",Hotel,,,,,,
90,Happy Homestay,Hotel,"61, Civil Lines Rd, Suraj Nagar East, Suraj Nagar, Civil Lines, Jaipur, Rajasthan 302006, India",Jaipur,,,,,,,5.0,12.0,"₹1,000",Hotel,,,,,,
91,Hotel Leisure Homes,Hotel,"opp. ITC Rajputana Palace Hotel, near Railway Station, Gopalbari, Jaipur, Rajasthan 302006, India",Jaipur,0141 221 4778,,,,,,3.8,832.0,"₹1,000",Hotel,,,,,,
92,Studywellgirlspg Only For Females,Hotel,"449, Shanthi Nagar B, Champa Nagar, Shanthi Nagar, Mansarovar, Jaipur, Rajasthan 302019, India",Jaipur,,,,,,,4.7,3.0,"₹1,000",Establishment,,,,,,
94,Ghughuti Home Stay 1Bhk 2Br With Free Parking,Hotel,,Jaipur,,,,,,,,,"₹1,008",,,,,,,
97,Super Hotel O Jln Marg Malviya Nagar Formerly Hotel Braj Haveli,Hotel,"hotel, 1, D-24-b, Jawahar Lal Nehru Marg, Lal Bahadur Nagar East, Sector 8, Malviya Nagar, Jaipur, Rajasthan 302017, India",Jaipur,0124 433 0599,,,,,,3.3,84.0,"₹1,014",Hotel,https://www.oyorooms.com/h/35082?utm_source=Google_gmb&utm_medium=Organic&utm_campaign=JAI404&latitude=26.842767&longitude=75.801983&locale=en,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
98,Rudh Dham,Hotel,"opp, Chitrakoot Marg, Sector 9, Vaishali Nagar, Jaipur, Rajasthan 302021, India",Jaipur,0141 224 6100,,,,,,4.7,18582.0,"₹1,020",Establishment,https://www.baps.org/Global-Network/India/Jaipur.aspx,,,,,
