SR NO,NAME,PROPERTY TYPE,LOCATION,CITY,CONTACT NO 1,CONTACT NO 2,CONTACT NO 3,EMAIL 1,EMAIL 2,EMAIL 3,RATING OUT OF 5,REVIEW COUNT,PRICE PER DAY,LOCATION TYPE,WEBSITE,INSTAGRAM,FACEBOOK,LINKEDIN,YOUTUBE,TWITTER
1,"Taj Palace, New Delhi",Luxury Hotel,"2, Sardar Patel Marg, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021, India",New Delhi,011 2611 0202,,,,,,4.7,34791,,"establishment, lodging, point_of_interest",https://www.tajhotels.com/en-in/hotels/taj-palace-new-delhi/rooms-and-suites?utm_source=google&utm_medium=local&utm_campaign=taj-palace-new-delhi,,,,,
2,"Radisson Blu Hotel, New Delhi Dwarka",Hotel,"Dwarka City Centre, Plot 4, Sector 13, Dwarka, New Delhi, Delhi, 110075, India",Delhi,011 3090 8000,,,,,,4.5,36604,,"establishment, lodging, point_of_interest",https://www.radissonhotels.com/en-us/hotels/radisson-blu-new-delhi-dwarka?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INDLDELDWA,,,,,
3,"Radisson Blu Hotel, New Delhi Paschim Vihar",Hotel,"Outer Ring Rd, Sunder Vihar, Paschim Vihar, New Delhi, Delhi, 110087, India",Delhi,011 4639 9999,,,,,,4.4,27946,,"establishment, lodging, point_of_interest",https://www.radissonhotels.com/en-us/hotels/radisson-blu-new-delhi-paschim-vihar?cid=a:se+b:gmb+c:apac+i:local+e:rdb+d:ind+h:INDLDELPVI,,,,,
4,"De Pavilion Hotel, Delhi",Hotel,"250-A, Road No. 6, Block RZ, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India",New Delhi,089299 00076,,,,,,4.4,3318,,"establishment, lodging, point_of_interest",https://depavilion.com/,,,,,
5,Park Inn by Radisson New Delhi IP Extension,Hotel,"Plot No. 6A, I.P.Extension, Patparganj, New Delhi, Delhi, 110092, India",Delhi,011 6633 6000,,,,,,4.4,8880,,"establishment, lodging, point_of_interest",https://www.radissonhotels.com/en-us/hotels/park-inn-new-delhi-ip-extension?cid=a:se+b:gmb+c:apac+i:local+e:pii+d:ind+h:INDLDELIPX,,,,,
6,"Holiday Inn New Delhi Int'L Airport, an IHG Hotel",Hotel,"Asset Area 12 Hospitality District, Aerocity, New Delhi, Delhi 110037, India",New Delhi,011 4222 2000,,,,,,4.7,31376,,"establishment, lodging, point_of_interest",https://www.ihg.com/holidayinn/hotels/us/en/new-delhi/delap/hoteldetail?cm_mmc=GoogleMaps-_-HI-_-IN-_-DELAP,,,,,
7,"Lemon Tree Premier, Delhi Airport",Hotel,"Asset No. 6, Indira Gandhi Int'l Airport, Asset 6, 6, Northern Access Rd, Aerocity, Dial Area, New Delhi, Delhi 110037, India",New Delhi,011 4423 2323,+91 9911701701,,hi.dl@lemontreehotels.com,,,4.1,11629,,"establishment, lodging, point_of_interest",https://www.lemontreehotels.com/lemon-tree-premier/delhi/hotels-near-delhi-airport?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,https://www.instagram.com/lemontreehotels/,https://www.facebook.com/lemontreehotelsltd,,https://www.youtube.com/c/LemonTreeHotelsLtd,https://twitter.com/LemonTreeHotels
8,Pride Plaza Aerocity,Hotel,"Asset 5-A, Hospitality District, Indira Gandhi International Airport, Aerocity, New Delhi, Delhi 110037, India",New Delhi,011 7160 0700,,,reservations.aerocity@pridehotel.com,centralreservations@pridehotel.com,,4.9,27143,,"establishment, lodging, point_of_interest",https://www.pridehotel.com/pride-plaza-hotel-aerocity-new-delhi-hotel/,https://www.instagram.com/thepridehotels/,https://www.facebook.com/ThePrideHotels/,,,
9,The Leela Palace New Delhi - The Capital's Only Modern Palace Hotel,Luxury Hotel,"Africa Ave, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110023, India",New Delhi,011 3933 1234,,,reservations@theleela.com,,,4.6,14920,,"establishment, lodging, point_of_interest, spa",https://www.theleela.com/the-leela-palace-new-delhi?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gbp-leela-palace-new-delhi&utm_content=hotel-website-click,https://www.instagram.com/theleela/,https://www.facebook.com/theleela,https://www.linkedin.com/company/theleela,https://www.youtube.com/user/LeelaHotelsOfficial,https://x.com/theleelahotels
10,"The Oberoi, New Delhi",Boutique Hotel,"Dr Zakir Hussain Marg, Delhi Golf Club, Golf Links, New Delhi, Delhi 110003, India",New Delhi,011 6911 0606,,,reservations@oberoigroup.com,generalmanager.delhi@oberoihotels.com,,4.6,11706,,"bar, establishment, food, lodging, point_of_interest, restaurant, spa",https://www.oberoihotels.com/hotels-in-delhi/?utm_source=GMBlisting&utm_medium=organic,https://www.instagram.com/oberoihotels/,https://www.facebook.com/OberoiHotels,,https://www.youtube.com/user/OberoiHotels,https://www.twitter.com/oberoihotels/
11,"The Connaught, New Delhi - IHCL SeleQtions",Boutique Hotel,"37, Shaheed Bhagat Singh Marg, Shivaji Stadium, Connaught Place, New Delhi, Delhi 110001, India",New Delhi,011 6146 7000,,,book.connaught@seleqtionshotels.com,,,4.5,2722,,"establishment, lodging, point_of_interest",https://www.seleqtionshotels.com/en-in/hotels/connaught-new-delhi?utm_source=google&utm_medium=local&utm_campaign=connaught-new-delhi-cla&utm_content=connaught-new-delhi-cla-gmb,,,,,
12,hotel apple inn,Hotel,"8690-8691, Arakashan Rd, near St Anthony school, Arya Nagar, Paharganj, New Delhi, Delhi 110055, India",New Delhi,085100 01611,,,,,,4.2,641,,"establishment, lodging, point_of_interest",https://bookings.resavenue.com/resBooking/rooms?regCode=VRXX1028&roomSearchId=ec8256052f044001be0b0a09ed3d7666&adult_1=2,,,,,
13,Hotel Shanti Plaza,Hotel,"Plot No 8651, Arakashan Rd, near Nav Shakti School, Arya Nagar, Paharganj, New Delhi, Delhi 110055, India",New Delhi,093105 95445,,,,,,3.8,1233,,"establishment, lodging, point_of_interest",http://shantiplaza.in/,,,,,
14,The Grand Uddhav,Hotel,"4953-54, Ramdwara Rd, Bagichi Ramchander, Nehru Bazar, Paharganj, New Delhi, Delhi 110055, India",New Delhi,098993 54533,+91 9899354533,,info@granduddhav.com,,,4.0,2581,,"establishment, lodging, point_of_interest",https://www.granduddhav.com/,http://instagram.com,http://facebook.com,,,http://twitter.com
15,Le ROI Express Paharganj,Hotel,"Baoli chowk, 672-676, near cheh Tooti Chawk, Bazar Sangatrashan, Main Bazar, Aram Bagh, Paharganj, New Delhi, Delhi 110055, India",New Delhi,093104 01615,,,sales@leroihotels.com,booking@leroihotels.com,revenuemgr@leroihotels.com,4.5,1119,,"establishment, lodging, point_of_interest",https://www.leroihotels.com/le-roi-express-paharganj-delhi/,,,,,
16,The Park,Boutique Hotel,"15, Sansad Marg, Hanuman Road Area, Connaught Place, New Delhi, Delhi 110001, India",New Delhi,011 2374 3000,,,,,,4.0,16292,,"bar, establishment, food, lodging, point_of_interest, restaurant",http://www.theparkhotels.com/new-delhi.html,https://www.instagram.com/theparkhotels/,https://www.facebook.com/pages/The-Park-Hotels/149015151819500,https://www.linkedin.com/company/43515?trk=tyah,https://www.youtube.com/theparkhotels,https://www.twitter.com/parkhotelsindia
