SR NO,NAME,PROPERTY TYPE,LOCATION,CITY,CONTACT NO 1,CONTACT NO 2,CONTACT NO 3,EMAIL 1,EMAIL 2,EMAIL 3,RATING OUT OF 5,REVIEW COUNT,PRICE PER DAY,LOCATION TYPE,WEBSITE,INSTAGRAM,FACEBOOK,LINKEDIN,YOUTUBE,TWITTER
32,Gitanjali Homestay By Lake Pichola Udaipur,Hotel,"Nathi Ghat I, S Hareshwar Mahadev temple, 6, Brahmpol Rd, Ambamata, Udaipur, Rajasthan 313001, India",Udaipur,090014 98364,+91 9001498364,,gitanjalihomestayudr@gmail.com,,,4.8,101.0,"₹1,000",Hotel,https://gitanjalihomestayudaipur.com/,,,,,https://www.wix.com
33,Lake Face,Hotel,"94, Chand Pol Rd, Chand Pole, Silawatwari, Udaipur, Rajasthan 313004, India",Udaipur,094142 64202,,,,,,4.5,113.0,"₹1,000",Hotel,,,,,,
34,Whereabout Hostel Udaipur,Hotel,"17,outside of chandpole , jethiyo ka akhada, Ambamata, Udaipur, Rajasthan 313004, India",Udaipur,086190 11024,,,,,,4.5,1039.0,"₹1,029",Hotel,https://www.hostelworld.com/pwa/hosteldetails.php/Whereabout-hostel/Udaipur/271559?from=2021-11-21&to=2021-11-22&guests=2&origin=microsite,https://www.instagram.com/hostelworld/,https://www.facebook.com/hostelworld,,https://www.youtube.com/user/hostelworld,https://twitter.com/hostelworld
36,Hardik Villa,Villa,"HPPG+VW5, Pahada, Udaipur, Rajasthan 313001, India",Udaipur,,,,,,,5.0,1.0,"₹1,034",Establishment,,,,,,
37,Khoj By Bharatescapes 50 Metres From City Palace Udaipur,Luxury Hotel,"49, Picholi Marg, Old City, Rao Ji Ka Hata, Udaipur, Rajasthan 313001, India",Udaipur,,,,,,,5.0,11.0,"₹1,063",Hotel,https://www.bharatescapes.com/,,,,,
38,Hanuman Ghat Boutique Stays On Lake Pichola,Boutique Hotel,"hanuman ghat area, Ambrai Rd, near walking Bridge, Outside Chandpole, Ambamata, Udaipur, Rajasthan 313001, India",Udaipur,,,,,,,,,"₹1,068",Hotel,,,,,,
39,Elegance By Comfort,Boutique Hotel,"5B, opp. Sahelion Ki Bari, New Fatehpura, Panchwati, Udaipur, Rajasthan 313004, India",Udaipur,080033 31199,8003331199,+91 8003331177,reservation@amantrahotel.com,,,4.6,4009.0,"₹1,077",Hotel,http://www.amantrahotel.com/,,,,,
40,Hotel Dosa Plaza,Hotel,"Near by sukher police thana N.H.8 sukher, nathdwara road, opp. Eklingji Service center, [no name], Udaipur, Sukher, Rajasthan 313001, India",Udaipur,078911 44447,,,,,,4.2,761.0,"₹1,080",Hotel,https://www.dosaplaza.com/,,,,,
41,Saga By Lake,Hotel,"52, Acharya Marg, Brahmpol Rd, Ambamata, Udaipur, Rajasthan 313001, India",Udaipur,099508 55259,,,,,,4.9,124.0,"₹1,080",Hotel,https://sagabylake.com/,,,,,
42,Hotel Shree Nath,Hotel,"Near 141-A Block, Sub City Centre Rd, Tekri Rd, Udaipole, Central Area, Udaipur, Rajasthan 313001, India",Udaipur,,,,,,,5.0,22.0,"₹1,080",Hotel,,,,,,
